AAON,AAON Inc. Common Stock
AZPN,Aspen Technology Inc. Common Stock
AZTA,Azenta Inc.
BAND,Bandwidth Inc. Class A Common Stock
BANF,BancFirst Corporation Common Stock
BANR,Banner Corporation Common Stock
BASE,Couchbase Inc. Common Stock
BBIO,BridgeBio Pharma Inc. Common Stock
BCPC,Balchem Corporation Common Stock
BEAM,Beam Therapeutics Inc. Common Stock
BECN,Beacon Roofing Supply Inc. Common Stock
BFC,Bank First Corporation Common Stock
BGC,BGC Group Inc. Class A Common Stock
BGNE,BeiGene Ltd. American Depositary Shares
BHF,Brighthouse Financial Inc. Common Stock
BIDU,Baidu Inc. ADS
BIIB,Biogen Inc. Common Stock
BITF,Bitfarms Ltd. Common Stock
BJRI,BJ's Restaurants Inc. Common Stock
BKNG,Booking Holdings Inc. Common Stock
BL,BlackLine Inc. Common Stock
BLBD,Blue Bird Corporation Common Stock
BLFS,BioLife Solutions Inc. Common Stock
BLKB,Blackbaud Inc. Common Stock
BLMN,Bloomin' Brands Inc. Common Stock
BLNK,Blink Charging Co. Common Stock
BLUE,bluebird bio Inc. Common Stock
BMBL,Bumble Inc. Class A Common Stock
BMEA,Biomea Fusion Inc. Common Stock
BMRC,Bank of Marin Bancorp Common Stock
BNTX,BioNTech SE American Depositary Share
BOKF,BOK Financial Corporation Common Stock
BOOM,DMC Global Inc. Common Stock
BPOP,Popular Inc. Common Stock
BRKL,Brookline Bancorp Inc. Common Stock
BRKR,Bruker Corporation Common Stock
BROG,Brooge Energy Limited Ordinary Shares
BRY,Berry Corporation (bry) Common Stock
BRZE,Braze Inc. Class A Common Stock
BSRR,Sierra Bancorp Common Stock
BTM,Bitcoin Depot Inc. Class A Common Stock
BTMD,Biote Corp. Class A Common Stock
BVS,Bioventus Inc. Class A Common Stock
BYND,Beyond Meat Inc. Common Stock
CABA,Cabaletta Bio Inc. Common Stock
CAC,Camden National Corporation Common Stock
CALM,Cal-Maine Foods Inc. Common Stock
CAMT,Camtek Ltd. Ordinary Shares
CAN,Canaan Inc. American Depositary Shares
CAR,Avis Budget Group Inc. Common Stock
CARE,Carter Bankshares Inc. Common Stock
CARG,CarGurus Inc. Class A Common Stock
CASH,Pathward Financial Inc. Common Stock
CATC,Cambridge Bancorp Common Stock
CATY,Cathay General Bancorp Common Stock
CBAY,CymaBay Therapeutics Inc. Common Stock
CBSH,Commerce Bancshares Inc. Common Stock
CBUS,Cibus Inc. Class A Common Stock
CCAP,Crescent Capital BDC Inc. Common stock
CCBG,Capital City Bank Group Common Stock
CCNE,CNB Financial Corporation Common Stock
CCOI,Cogent Communications Holdings Inc.
CDLX,Cardlytics Inc. Common Stock
CDMO,Avid Bioservices Inc. Common Stock
CDNA,CareDx Inc. Common Stock
CDW,CDW Corporation Common Stock
CECO,CECO Environmental Corp. Common Stock
CELH,Celsius Holdings Inc. Common Stock
CENX,Century Aluminum Company Common Stock
CERS,Cerus Corporation Common Stock
CERT,Certara Inc. Common Stock
CEVA,CEVA Inc. Common Stock
CFB,CrossFirst Bankshares Inc. Common Stock
CFLT,Confluent Inc. Class A Common Stock
CG,The Carlyle Group Inc. Common Stock
CGEM,Cullinan Oncology Inc. Common Stock
CGNT,Cognyte Software Ltd. Ordinary Shares
CGNX,Cognex Corporation Common Stock
CHCO,City Holding Company Common Stock
CHEF,The Chefs' Warehouse Inc. Common Stock
CHRD,Chord Energy Corporation Common Stock
CHRS,Coherus BioSciences Inc. Common Stock
CHUY,Chuy's Holdings Inc. Common Stock
CHX,ChampionX Corporation Common Stock
CIFR,Cipher Mining Inc. Common Stock
CLAR,Clarus Corporation Common Stock
CLBK,Columbia Financial Inc. Common Stock
CLBT,Cellebrite DI Ltd. Ordinary Shares
CLDX,Celldex Therapeutics Inc.
CLFD,Clearfield Inc. Common Stock
CLNE,Clean Energy Fuels Corp. Common Stock
CLSK,CleanSpark Inc. Common Stock
CME,CME Group Inc. Class A Common Stock
CMPO,CompoSecure Inc. Class A Common Stock
CMPR,Cimpress plc Ordinary Shares (Ireland)
CMPX,Compass Therapeutics Inc. Common Stock
CNDT,Conduent Incorporated Common Stock
CNOB,ConnectOne Bancorp Inc. Common Stock
CNXC,Concentrix Corporation Common Stock
CNXN,PC Connection Inc. Common Stock
COCO,The Vita Coco Company Inc. Common Stock
COGT,Cogent Biosciences Inc. Common Stock
COHU,Cohu Inc. Common Stock
COOP,Mr. Cooper Group Inc. Common Stock
CPRT,Copart Inc. (DE) Common Stock
CRAI,CRA International Inc. Common Stock
CRBU,Caribou Biosciences Inc. Common Stock
CRCT,Cricut Inc. Class A Common Stock
CRMT,America's Car-Mart Inc Common Stock
CRNC,Cerence Inc. Common Stock
CRON,Cronos Group Inc. Common Share
CROX,Crocs Inc. Common Stock
CRSP,CRISPR Therapeutics AG Common Shares
CRSR,Corsair Gaming Inc. Common Stock
CRTO,Criteo S.A. American Depositary Shares
CRUS,Cirrus Logic Inc. Common Stock
CRVL,CorVel Corp. Common Stock
CSCO,Cisco Systems Inc. Common Stock (DE)
CSGP,CoStar Group Inc. Common Stock
CSIQ,Canadian Solar Inc. Common Shares (ON)
CSTL,Castle Biosciences Inc. Common Stock
CSWI,CSW Industrials Inc. Common Stock
CSX,CSX Corporation Common Stock
CTAS,Cintas Corporation Common Stock
CTKB,Cytek Biosciences Inc. Common Stock
CTLP,Cantaloupe Inc. Common Stock
CVAC,CureVac N.V. Ordinary Shares
CVBF,CVB Financial Corporation Common Stock
CVGW,Calavo Growers Inc. Common Stock
CVLT,Commvault Systems Inc. Common Stock
CVRX,CVRx Inc. Common Stock
CYBR,CyberArk Software Ltd. Ordinary Shares
CYRX,CryoPort Inc. Common Stock
CYTK,Cytokinetics Incorporated Common Stock
CZNC,Citizens & Northern Corp Common Stock
CZR,Caesars Entertainment Inc. Common Stock
DAKT,Daktronics Inc. Common Stock
DBX,Dropbox Inc. Class A Common Stock
DCBO,Docebo Inc. Common Shares
DCGO,DocGo Inc. Common Stock
DDOG,Datadog Inc. Class A Common Stock
DENN,Denny's Corporation Common Stock
DGII,Digi International Inc. Common Stock
DIOD,Diodes Incorporated Common Stock
DJCO,Daily Journal Corp. (S.C.) Common Stock
DKNG,DraftKings Inc. Class A Common Stock
DLO,DLocal Limited Class A Common Shares
DLTR,Dollar Tree Inc. Common Stock
DMRC,Digimarc Corporation Common Stock
DNLI,Denali Therapeutics Inc. Common Stock
DNUT,Krispy Kreme Inc. Common Stock
DOCU,DocuSign Inc. Common Stock
DOMO,Domo Inc. Class B Common Stock
DORM,Dorman Products Inc. Common Stock
DOX,Amdocs Limited Ordinary Shares
DRS,Leonardo DRS Inc. Common Stock
DUOL,Duolingo Inc. Class A Common Stock
DXCM,DexCom Inc. Common Stock
DXPE,DXP Enterprises Inc. Common Stock
DYN,Dyne Therapeutics Inc. Common Stock
EA,Electronic Arts Inc. Common Stock
EBAY,eBay Inc. Common Stock
EBC,Eastern Bankshares Inc. Common Stock
EBIX,Ebix Inc. Common Stock
EBTC,Enterprise Bancorp Inc Common Stock
ECPG,Encore Capital Group Inc Common Stock
EDIT,Editas Medicine Inc. Common Stock
EEFT,Euronet Worldwide Inc. Common Stock
EGBN,Eagle Bancorp Inc. Common Stock
EGHT,8x8 Inc Common Stock
EH,EHang Holdings Limited ADS
ELVN,Enliven Therapeutics Inc. Common Stock
EMBC,Embecta Corp. Common Stock
ENPH,Enphase Energy Inc. Common Stock
ENSG,The Ensign Group Inc. Common Stock
ENTG,Entegris Inc. Common Stock
ENVX,Enovix Corporation Common Stock
EOLS,Evolus Inc. Common Stock
EQIX,Equinix Inc. Common Stock REIT
EQRX,EQRx Inc.  Common Stock
ERAS,Erasca Inc. Common Stock
ERIC,Ericsson American Depositary Shares
ERII,Energy Recovery Inc. Common Stock
ESGR,Enstar Group Limited Ordinary Shares
ESLT,Elbit Systems Ltd. Ordinary Shares
ETNB,89bio Inc. Common Stock
ETSY,Etsy Inc. Common Stock
EVBG,Everbridge Inc. Common Stock
EVCM,EverCommerce Inc. Common Stock
EVGO,EVgo Inc. Class A Common Stock
EVO,Evotec SE American Depositary Shares
EVRG,Evergy Inc. Common Stock
EWBC,East West Bancorp Inc. Common Stock
EWTX,Edgewise Therapeutics Inc. Common Stock
EXAS,Exact Sciences Corporation Common Stock
EXC,Exelon Corporation Common Stock
EXEL,Exelixis Inc. Common Stock
EXFY,Expensify Inc. Class A Common Stock
EXLS,ExlService Holdings Inc. Common Stock
EXPE,Expedia Group Inc. Common Stock
EXPI,eXp World Holdings Inc. Common Stock
EXPO,Exponent Inc. Common Stock
EXTR,Extreme Networks Inc. Common Stock
FA,First Advantage Corporation Common Stock
FANG,Diamondback Energy Inc. Common Stock
FANH,Fanhua Inc. American Depositary Shares
FARO,FARO Technologies Inc. Common Stock
FAST,Fastenal Company Common Stock
FBMS,First Bancshares Inc.
FBNC,First Bancorp Common Stock
FCEL,FuelCell Energy Inc. Common Stock
FCFS,FirstCash Holdings Inc. Common Stock
FELE,Franklin Electric Co. Inc. Common Stock
FFBC,First Financial Bancorp. Common Stock
FFIV,F5 Inc. Common Stock
FFWM,First Foundation Inc. Common Stock
FHB,First Hawaiian Inc. Common Stock
FHTX,Foghorn Therapeutics Inc. Common Stock
FIP,FTAI Infrastructure Inc. Common Stock
FITB,Fifth Third Bancorp Common Stock
FIVE,Five Below Inc. Common Stock
FIVN,Five9 Inc. Common Stock
FIZZ,National Beverage Corp. Common Stock
FLEX,Flex Ltd. Ordinary Shares
FLGT,Fulgent Genetics Inc. Common Stock
FLWS,1-800-FLOWERS.COM Inc. Common Stock
FLYW,Flywire Corporation Voting Common Stock
FMBH,First Mid Bancshares Inc. Common Stock
FNKO,Funko Inc. Class A Common Stock
FOLD,Amicus Therapeutics Inc. Common Stock
FORR,Forrester Research Inc. Common Stock
FOX,Fox Corporation Class B Common Stock
FOXA,Fox Corporation Class A Common Stock
FOXF,Fox Factory Holding Corp. Common Stock
FRG,Franchise Group Inc. Common Stock
FRHC,Freedom Holding Corp. Common Stock
FROG,JFrog Ltd. Ordinary Shares
FRPH,FRP Holdings Inc. Common Stock
FRPT,Freshpet Inc. Common Stock
FRSH,Freshworks Inc. Class A Common Stock
FSBC,Five Star Bancorp Common Stock
FSLR,First Solar Inc. Common Stock
FSV,FirstService Corporation Common Shares
FTAI,FTAI Aviation Ltd. Common Stock
FTDR,Frontdoor Inc. Common Stock
FTNT,Fortinet Inc. Common Stock
FWRD,Forward Air Corporation Common Stock
GBDC,Golub Capital BDC Inc. Common Stock
GBIO,Generation Bio Co. Common Stock
GCBC,Greene County Bancorp Inc. Common Stock
GCMG,GCM Grosvenor Inc. Class A Common Stock
GDEN,Golden Entertainment Inc. Common Stock
GDEV,GDEV Inc. Ordinary Shares
GDS,GDS Holdings Limited ADS
GEN,Gen Digital Inc. Common Stock
GERN,Geron Corporation Common Stock
GEVO,Gevo Inc. Common Stock
GFS,GlobalFoundries Inc. Ordinary Shares
GGR,Gogoro Inc. Ordinary Shares
GH,Guardant Health Inc. Common Stock
GHRS,GH Research PLC Ordinary Shares
GIII,G-III Apparel Group LTD. Common Stock
GILD,Gilead Sciences Inc. Common Stock
GLBE,Global-E Online Ltd. Ordinary Shares
GLNG,Golar Lng Ltd
GLPG,Galapagos NV American Depositary Shares
GMAB,Genmab A/S ADS
GNLX,Genelux Corporation Common Stock
GNTX,Gentex Corporation Common Stock
GO,Grocery Outlet Holding Corp. Common Stock
GOCO,GoHealth Inc. Class A Common Stock
GOGL,Golden Ocean Group Limited Common Stock
GOGO,Gogo Inc. Common Stock
GOOG,Alphabet Inc. Class C Capital Stock
GPP,Green Plains Partners LP Common Units
GPRE,Green Plains Inc. Common Stock
GPRO,GoPro Inc. Class A Common Stock
GRFS,Grifols S.A. American Depositary Shares
GRPN,Groupon Inc. Common Stock
GSM,Ferroglobe PLC Ordinary Shares
GTLB,GitLab Inc. Class A Common Stock
GTX,Garrett Motion Inc. Common Stock
HA,Hawaiian Holdings Inc. Common Stock
HALO,Halozyme Therapeutics Inc. Common Stock
HAS,Hasbro Inc. Common Stock
HAYN,Haynes International Inc. Common Stock
HBNC,Horizon Bancorp Inc. Common Stock
HBT,HBT Financial Inc. Common Stock
HCAT,Health Catalyst Inc Common Stock
HCKT,Hackett Group Inc (The). Common Stock
HCP,HashiCorp Inc. Class A Common Stock
HDSN,Hudson Technologies Inc. Common Stock
HELE,Helen of Troy Limited Common Stock
HIBB,Hibbett Inc. Common Stock
HKIT,Hitek Global Inc. Ordinary Share
HLIT,Harmonic Inc. Common Stock
HLMN,Hillman Solutions Corp. Common Stock
HLVX,HilleVax Inc. Common Stock
HNRG,Hallador Energy Company Common Stock
HOLX,Hologic Inc. Common Stock
HONE,HarborOne Bancorp Inc. Common Stock
HOPE,Hope Bancorp Inc. Common Stock
HPK,HighPeak Energy Inc. Common Stock
HQY,HealthEquity Inc. Common Stock
HROW,Harrow Health Inc. Common Stock
HSIC,Henry Schein Inc. Common Stock
HST,Host Hotels & Resorts Inc. Common Stock
HSTM,HealthStream Inc. Common Stock
HTBI,HomeTrust Bancshares Inc. Common Stock
HTBK,Heritage Commerce Corp Common Stock
HTLD,Heartland Express Inc. Common Stock
HTZ,Hertz Global Holdings Inc Common Stock
HUBG,Hub Group Inc. Class A Common Stock
HUMA,Humacyte Inc. Common Stock
HUT,Hut 8 Mining Corp. Common Shares
HWC,Hancock Whitney Corporation Common Stock
HWKN,Hawkins Inc. Common Stock
IAC,IAC Inc. Common Stock
IBEX,IBEX Limited Common Shares
IBRX,ImmunityBio Inc. Common Stock
IBTX,Independent Bank Group Inc Common Stock
ICFI,ICF International Inc. Common Stock
ICHR,Ichor Holdings Ordinary Shares
ICLR,ICON plc Ordinary Shares
ICUI,ICU Medical Inc. Common Stock
ICVX,Icosavax Inc. Common Stock
IDCC,InterDigital Inc. Common Stock
IDXX,IDEXX Laboratories Inc. Common Stock
IDYA,IDEAYA Biosciences Inc. Common Stock
IEP,Icahn Enterprises L.P. Common Stock
IESC,IES Holdings Inc. Common Stock
IGMS,IGM Biosciences Inc. Common Stock
IHRT,iHeartMedia Inc. Class A Common Stock
IIIV,i3 Verticals Inc. Class A Common Stock
ILMN,Illumina Inc. Common Stock
IMGN,ImmunoGen Inc. Common Stock
IMTX,Immatics N.V. Ordinary Shares
IMVT,Immunovant Inc. Common Stock
INBX,Inhibrx Inc. Common Stock
INCY,Incyte Corp. Common Stock
INDB,Independent Bank Corp. Common Stock
INDV,Indivior PLC Ordinary Shares
INFN,Infinera Corporation Common Stock
INMD,InMode Ltd. Ordinary Shares
INNV,InnovAge Holding Corp. Common Stock
INOD,Innodata Inc. Common Stock
INSM,Insmed Incorporated Common Stock
INTA,Intapp Inc. Common Stock
INTC,Intel Corporation Common Stock
INTR,Inter & Co. Inc. Class A Common Shares
INTU,Intuit Inc. Common Stock
INVA,Innoviva Inc. Common Stock
IONR,ioneer Ltd American Depositary Shares
IONS,Ionis Pharmaceuticals Inc. Common Stock
IOSP,Innospec Inc. Common Stock
IPAR,Inter Parfums Inc. Common Stock
IPGP,IPG Photonics Corporation Common Stock
IQ,iQIYI Inc. American Depositary Shares
IRBT,iRobot Corporation Common Stock
IRDM,Iridium Communications Inc Common Stock
IRMD,iRadimed Corporation Common Stock
IRON,Disc Medicine Inc. Common Stock
IRTC,iRhythm Technologies Inc. Common Stock
ISPR,Ispire Technology Inc. Common Stock
ISRG,Intuitive Surgical Inc. Common Stock
ITOS,iTeos Therapeutics Inc. Common Stock
ITRI,Itron Inc. Common Stock
JACK,Jack In The Box Inc. Common Stock
JAMF,Jamf Holding Corp. Common Stock
JANX,Janux Therapeutics Inc. Common Stock
JD,JD.com Inc. American Depositary Shares
JJSF,J & J Snack Foods Corp. Common Stock
KARO,Karooooo Ltd. Ordinary Shares
KDP,Keurig Dr Pepper Inc. Common Stock
KE,Kimball Electronics Inc. Common Stock
KFRC,Kforce Inc. Common Stock
KHC,The Kraft Heinz Company Common Stock
KIDS,OrthoPediatrics Corp. Common Stock
KLAC,KLA Corporation Common Stock
KRNT,Kornit Digital Ltd. Ordinary Shares
KRNY,Kearny Financial Corp Common Stock
KROS,Keros Therapeutics Inc. Common Stock
KRT,Karat Packaging Inc. Common Stock
KRTX,Karuna Therapeutics Inc. Common Stock
KRYS,Krystal Biotech Inc. Common Stock
KURA,Kura Oncology Inc. Common Stock
KYMR,Kymera Therapeutics Inc. Common Stock
LAND,Gladstone Land Corporation Common Stock
LASR,nLIGHT Inc. Common Stock
LAUR,Laureate Education Inc. Common Stock
LBAI,Lakeland Bancorp Inc. Common Stock
LBC,Luther Burbank Corporation Common Stock
LCID,Lucid Group Inc. Common Stock
LE,Lands' End Inc. Common Stock
LESL,Leslie's Inc. Common Stock
LFUS,Littelfuse Inc. Common Stock
LGIH,LGI Homes Inc. Common Stock
LI,Li Auto Inc. American Depositary Shares
LIFW,MSP Recovery Inc. Class A Common Stock
LILM,Lilium NV Class A Ordinary Shares
LITE,Lumentum Holdings Inc. Common Stock
LIVN,LivaNova PLC Ordinary Shares
LKQ,LKQ Corporation Common Stock
LMAT,LeMaitre Vascular Inc. Common Stock
LMB,Limbach Holdings Inc. Common Stock
LNT,Alliant Energy Corporation Common Stock
LNTH,Lantheus Holdings Inc. Common Stock
LNW,Light & Wonder Inc. Common Stock
LNZA,LanzaTech Global Inc. Common Stock
LOVE,The Lovesac Company Common Stock
LPRO,Open Lending Corporation Common Stock
LPSN,LivePerson Inc. Common Stock
LQDA,Liquidia Corporation Common Stock
LQDT,Liquidity Services Inc. Common Stock
LRCX,Lam Research Corporation Common Stock
LSEA,Landsea Homes Corporation Common Stock
LSTR,Landstar System Inc. Common Stock
LULU,lululemon athletica inc. Common Stock
LUNG,Pulmonx Corporation Common Stock
LVRO,Lavoro Limited Class A Ordinary Shares
LWLG,Lightwave Logic Inc. Common Stock
LYEL,Lyell Immunopharma Inc. Common Stock
LYFT,Lyft Inc. Class A Common Stock
LYTS,LSI Industries Inc. Common Stock
LZ,LegalZoom.com Inc. Common Stock
MANH,Manhattan Associates Inc. Common Stock
MASI,Masimo Corporation Common Stock
MAT,Mattel Inc. Common Stock
MBIN,Merchants Bancorp Common Stock
MBUU,Malibu Boats Inc. Class A Common Stock
MCBC,Macatawa Bank Corporation Common Stock
MCBS,MetroCity Bankshares Inc. Common Stock
MCRB,Seres Therapeutics Inc. Common Stock
MDB,MongoDB Inc. Class A Common Stock
MDRX,Veradigm Inc. Common Stock
MDXG,MiMedx Group Inc Common Stock
ME,23andMe Holding Co. Class A Common Stock
MEDP,Medpace Holdings Inc. Common Stock
MELI,MercadoLibre Inc. Common Stock
MEOH,Methanex Corporation Common Stock
MERC,Mercer International Inc. Common Stock
MGEE,MGE Energy Inc
MGNI,Magnite Inc. Common Stock
MGNX,MacroGenics Inc. Common Stock
MGPI,MGP Ingredients Inc.
MGRC,McGrath RentCorp Common Stock
MGTX,MeiraGTx Holdings plc Ordinary Shares
MIDD,Middleby Corporation (The) Common Stock
MIRM,Mirum Pharmaceuticals Inc. Common Stock
MITK,Mitek Systems Inc. Common Stock
MKSI,MKS Instruments Inc. Common Stock
MKTW,MarketWise Inc. Class A Common Stock
MKTX,MarketAxess Holdings Inc. Common Stock
MLAB,Mesa Laboratories Inc. Common Stock
MLKN,MillerKnoll Inc. Common Stock
MMSI,Merit Medical Systems Inc. Common Stock
MMYT,MakeMyTrip Limited Ordinary Shares
MNDY,monday.com Ltd. Ordinary Shares
MNKD,MannKind Corporation Common Stock
MNRO,Monro Inc. Common Stock
MNST,Monster Beverage Corporation
MNTK,Montauk Renewables Inc. Common Stock
MODV,ModivCare Inc. Common Stock
MOFG,MidWestOne Financial Gp Common Stock
MOR,MorphoSys AG American Depositary Shares
MORF,Morphic Holding Inc. Common Stock
MORN,Morningstar Inc. Common Stock
MPB,Mid Penn Bancorp Common Stock
MQ,Marqeta Inc. Class A Common Stock
MRCY,Mercury Systems Inc Common Stock
MRNA,Moderna Inc. Common Stock
MRTN,Marten Transport Ltd. Common Stock
MRTX,Mirati Therapeutics Inc. Common Stock
MRUS,Merus N.V. Common Shares
MRVL,Marvell Technology Inc. Common Stock
MSEX,Middlesex Water Company Common Stock
MSFT,Microsoft Corporation Common Stock
MTCH,Match Group Inc. Common Stock
MTTR,Matterport Inc. Class A Common Stock
NTCT,NetScout Systems Inc. Common Stock
NTES,NetEase Inc. American Depositary Shares
NTGR,NETGEAR Inc. Common Stock
NTLA,Intellia Therapeutics Inc. Common Stock
NTNX,Nutanix Inc. Class A Common Stock
NTRS,Northern Trust Corporation Common Stock
NUVA,NuVasive Inc. Common Stock
OABI,OmniAb Inc. Common Stock
OCFC,OceanFirst Financial Corp. Common Stock
MU,Micron Technology Inc. Common Stock
MVBF,MVB Financial Corp. Common Stock
MVIS,MicroVision Inc. Common Stock
MVST,Microvast Holdings Inc. Common Stock
MXCT,MaxCyte Inc. Common Stock
MXL,MaxLinear Inc. Common Stock
MYGN,Myriad Genetics Inc. Common Stock
MYPS,PLAYSTUDIOS Inc.  Class A Common Stock
MYRG,MYR Group Inc. Common Stock
NARI,Inari Medical Inc. Common Stock
NAVI,Navient Corporation Common Stock
NBN,Northeast Bank Common Stock
NBTB,NBT Bancorp Inc. Common Stock
NCMI,National CineMedia Inc. Common Stock
NCNO,nCino Inc. Common Stock
NDAQ,Nasdaq Inc. Common Stock
NDSN,Nordson Corporation Common Stock
NEGG,Newegg Commerce Inc. Common Shares
NEO,NeoGenomics Inc. Common Stock
NEOG,Neogen Corporation Common Stock
NEWT,NewtekOne Inc. Common Stock
NEXT,NextDecade Corporation Common Stock
NFLX,Netflix Inc. Common Stock
NGMS,NeoGames S.A. Ordinary Shares
NICE,NICE Ltd American Depositary Shares
NKLA,Nikola Corporation Common Stock
NMIH,NMI Holdings Inc. Class A Common Stock
NMRK,Newmark Group Inc. Class A Common Stock
NN,NextNav Inc. Common Stock
NNOX,NANO-X IMAGING LTD Ordinary Shares
NOVT,Novanta Inc. Common Stock
NRDS,NerdWallet Inc. Class A Common Stock
NRIX,Nurix Therapeutics Inc. Common stock
NSIT,Insight Enterprises Inc. Common Stock
NTAP,NetApp Inc. Common Stock
NTRA,Natera Inc. Common Stock
NUVL,Nuvalent Inc. Class A Common Stock
NVAX,Novavax Inc. Common Stock
NVCR,NovoCure Limited Ordinary Shares
NVDA,NVIDIA Corporation Common Stock
NVEC,NVE Corporation Common Stock
NVEE,NV5 Global Inc. Common Stock
NVMI,Nova Ltd. Ordinary Shares
NWBI,Northwest Bancshares Inc. Common Stock
NWE,NorthWestern Corporation Common Stock
NWL,Newell Brands Inc. Common Stock
NWPX,Northwest Pipe Company Common Stock
NWS,News Corporation Class B Common Stock
NWSA,News Corporation Class A Common Stock
NWTN,NWTN Inc. Class B Ordinary Shares
NXGN,NextGen Healthcare Inc. Common Stock
NXPI,NXP Semiconductors N.V. Common Stock
NXST,Nexstar Media Group Inc. Common Stock
NXT,Nextracker Inc. Class A Common Stock
NYAX,Nayax Ltd. Ordinary Shares
OCS,Oculis Holding AG Ordinary shares
OCUL,Ocular Therapeutix Inc. Common Stock
ODP,The ODP Corporation Common Stock
OFIX,Orthofix Medical Inc. Common Stock (DE)
OFLX,Omega Flex Inc. Common Stock
OKTA,Okta Inc. Class A Common Stock
OLMA,Olema Pharmaceuticals Inc. Common Stock
OLPX,Olaplex Holdings Inc. Common Stock
OM,Outset Medical Inc. Common Stock
ON,ON Semiconductor Corporation Common Stock
